,项目名称,中标金额（元）,中标单位名称,招标人,监督部门,招标代理,时间
522,雨花区2019年桃阳苑小区环境综合提质改造工程,9576109.76,湖南省金凯园林集团有限公司,长沙市雨花区城市管理和综合执法局,长沙市雨花区住房和城乡建设局,/,时间：2019-10-10 17:25:22
523,湖南湘江智能科技创新中心有限公司智能系统检测实验室土方施工,6083338.42,湖南中硕工程有限公司,湖南湘江智能科技创新中心有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-10-10 17:25:20
524,城镇排污排口改造项目,6002631.96,湖南中集建设工程有限公司,浏阳经开区投资发展有限公司,浏阳经济技术开发区管委会财政局招标采购中心,/,时间：2019-10-10 11:42:20
525,2019年全区堵点管道疏浚及整治工程四标段,1646265.02,湖南天禹建设园林有限公司,长沙市天心区市政设施维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-09 18:56:22
526,2019年全区堵点管道疏浚及整治工程二标段,1651502.48,湖南擎天建设工程有限公司,长沙市天心区市政设施维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-09 18:56:20
527,长沙经开区索恩格工业园二期建设工程（厂房、仓库）施工,197003236.3,中国建筑第五工程局有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-10-09 16:33:25
528,金井水库库区小型生活污水综合处理示范工程项目,7598138.1,湖南兴旺建设有限公司,长沙县金井镇人民政府,长沙县发展和改革局,/,时间：2019-10-09 16:33:24
529,金井镇雨水管网（金井社区）、污水管网（金井社区）改造工程,14243874.17,湖南咸嘉建设工程集团有限公司,长沙县金井镇人民政府,长沙县发展和改革局,/,时间：2019-10-09 16:33:23
530,2019年长沙县公安局基础设施修缮工程,3899950.37,湖南洪山建设集团有限公司,长沙县公安局,长沙县发展和改革局,/,时间：2019-10-09 16:33:22
531,/,/,/,/,/,/,/
532,宁乡市高新区望龙幼儿园建设项目,4859683.06,湖南双江建设工程有限公司,宁乡市金洲镇人民政府,宁乡市建设工程招标投标事务中心,/,时间：2019-10-09 16:32:20
533,经开区北片区环境综合整治工程施工一标段,32326959.31,长沙市市政工程有限责任公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-08 15:36:27
534,长沙经开区星沙水厂9万吨每天改扩建工程施工中标候选人（复评）,190523239.7,湖南望新建设集团股份有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-10-08 15:36:25
535,经开区北片区环境综合整治工程施工二标段,109404892.7,湖南乔口建设有限公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-08 15:36:24
536,长沙市轨道交通6号线工程黄梨路车辆基地钢结构及屋面工程施工项目,144232988.6,五矿二十三冶建设集团有限公司,长沙市轨道交通六号线建设发展有限公司,长沙市建设工程招投标管理中心,/,时间：2019-10-08 15:36:23
537,2019年捞刀河街道路面中小修工程项目,6817789,湖南华程建设工程有限公司,长沙市开福区交通运输局,长沙市开福区招标投标管理办公室,/,时间：2019-10-08 15:36:22
538,长沙县人民医院建设项目（建筑工程）施工,911039012.2,中建三局集团有限公司,长沙县医健建设投资有限公司,长沙县发展和改革局,/,时间：2019-10-08 15:36:21
539,长沙市五一商圈环境综合整治工程（开福区范围）项目施工二标段,3309717.95,湖南省城市建筑集团有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招投标管理办公室,/,时间：2019-09-29 15:54:25
540,永安镇永安片区棚改配套基础设施（二期）建设项目,4818816.97,湖南祥昀建设工程有限公司,浏阳市永安镇人民政府,浏阳市发展和改革局,/,时间：2019-09-29 15:54:22
541,长沙市五一商圈（芙蓉区）环境综合整治工程 （设计采购施工）总承包,69298849.03,湖南省绿林市政景观工程有限公司（牵头人）湖南省建筑设计院有限公司,长沙市芙蓉区城市管理局,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2019-09-29 15:54:20
542,长沙市望城区2019年中心城区老旧小区提质改造项目雨污水管道工程,1225389.96,长沙天卓塑胶有限公司,长沙市望城区住房保障服务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-29 15:53:22
543,长沙市轨道交通6号线工程黄梨路车辆基地市政及房建工程施工项目,661639871.2,中建五局第三建设有限公司,长沙市轨道交通六号线建设发展有限公司,长沙市建设工程招标投标中心,/,时间：2019-09-29 15:53:20
544,乌山站前广场及进场道路工程,10018088.67,湖南松雅建设工程有限公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-27 15:29:22
545,沅丰坝撇洪渠（卫星桥—北二环）段主要排水口截污改造工程施工,10805892.37,湖南金辉建设集团有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-09-27 12:05:20
546,浏阳经开区G319南侧污水主管项目,7436214.92,湖南洪山建设集团有限公司,浏阳经开区投资发展有限公司,浏阳经济技术开发区管委会财政局招标采购中心,/,时间：2019-09-27 11:44:21
547,宝塔路（花炮大道-禧和路）道路工程,7690941.07,湖南城市绿韵建设工程有限公司,浏阳市城市建设集团有限公司,浏阳市发展和改革局,/,时间：2019-09-27 11:35:20
548,长沙市五一商圈环境综合整治工程（开福区范围）项目施工三标段,3236546.35,承运建工集团有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招投标管理办公室,/,时间：2019-09-27 11:23:24
549,长沙市五一商圈环境综合整治工程（开福区范围）项目施工一标段,3945014.31,湖南天禹建设园林有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招投标管理办公室,/,时间：2019-09-27 11:23:23
550,长沙市五一商圈环境综合整治工程（开福区范围）项目施工四标段,4883680.8,湖南天禹建设园林有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招投标管理办公室,/,时间：2019-09-27 11:23:22
551,明德望城学校地块场平工程,6960408,湖南黄花建设集团股份有限公司,望城经开区建设开发公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-27 11:23:20
552,园博家园农民安置房建设项目建安工程（一标段）施工,553997731.1,湖南北山建设集团股份有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2019-09-27 09:43:20
553,鑫湘雅韵项目一期工程施工,214540007.1,中建三局集团有限公司,长沙鑫润房地产开发有限责任公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-26 20:36:23
554,杨家湾路西延（雷高路-郭亮南路）道路工程施工,21462358.86,湖南华侨建设开发集团有限公司,望城经开区建设开发公司,长沙市望城区建设工程招投标管理办公室,/,时间：2019-09-26 20:36:22
555,浏阳市淳口镇公租房配套设施建设项目（二期）,2604723.26,浏阳博创建设工程有限公司,浏阳市淳口镇人民政府,浏阳市发展和改革局,/,时间：2019-09-26 20:36:21
556,古港镇污水处理厂提标改造项目,6369064.22,长沙天全工程建设有限公司,浏阳市古港镇人民政府,浏阳市发展和改革局,/,时间：2019-09-26 20:36:20
557,同福加油站项目,6447174.45,湖南天人安装建设有限公司,长沙市望城区城市资源投资发展有限公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-26 09:02:21
558,育林路（水洲路-月亮岛路）道路工程,6916623.02,湖南南托建筑股份有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-26 09:02:21
559,榔梨街道双桥港、梨江港及花园港截污治污二期工程,35125249.91,浩天建工集团有限公司,长沙县榔梨街道办事处,长沙县发展和改革局,/,时间：2019-09-26 09:02:20
560,汽配城路、板仓北路、三一路、凉塘路、棠坡路、博展路、锦绣路提质改造工程四标段施工,12229530.56,湖南业达建设有限公司,长沙县城市管理局,长沙县发展和改革局,/,时间：2019-09-25 15:05:23
561,浏阳市小河乡田心片区棚改配套基础设施（三期）建设项目,3848362.06,湖南首建项目管理有限公司,浏阳市小河乡人民政府,浏阳市发展和改革局,/,时间：2019-09-25 15:05:22
562,长沙市新青少年宫后续建设项目设计施工总承包,8302287.24,北京航天万源建筑工程有限责任公司（联合体牵头人）、航天万源实业有限公司（联合体成员）,长沙市青少年宫,长沙市开福区招标投标管理办公室,/,时间：2019-09-24 17:18:25
563,中共长沙市委党校东校区基础设施提质改造项目,4071724.38,湖南东方红建设集团有限公司,中共长沙市委党校,长沙市天心区住房和城乡建设局,/,时间：2019-09-24 17:18:24
564,开福区2019年老旧社区提质改造工程项目第二标段,2180687.77,湖南华程建设工程有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招标投标管理办公室,/,时间：2019-09-24 15:29:23
565,长沙经开区黄金集团人才公寓（第一期）室内装修工程施工,11822218.46,湖南建工集团装饰工程有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-09-24 15:29:22
566,汇景发展环球中心项目附属工程及园林景观工程施工,8400085.75,湖南省城市建筑集团有限公司,湖南发展高新置业有限公司,长沙市建设工程招投标管理办公室,/,时间：2019-09-24 15:29:22
567,开福区2019年老旧社区提质改造工程项目第一标段,1657511.48,湖南御艺园林建设工程有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招标投标管理办公室,/,时间：2019-09-24 15:29:21
568,开福区2019年老旧社区提质改造工程项目第三标段,2587305.13,湖南省城市建筑集团有限公司,长沙市开福区城市管理和综合执法局,长沙市开福区招标投标管理办公室,/,时间：2019-09-24 15:29:20
569,长沙市望城区中心城区内老旧小区提质改造项目施工二标段,10238009.03,长沙新康建筑工程有限公司,长沙市望城区住房保障服务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-23 20:26:24
570,长沙市望城区中心城区内老旧小区提质改造项目施工三标段,10860928.03,湖南长大建设集团股份有限公司,长沙市望城区住房保障服务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-23 20:26:22
571,长沙市望城区中心城区内老旧小区提质改造项目施工一标段,19684428.39,湖南奉天建设集团有限公司,长沙市望城区住房保障服务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-23 20:26:21
572,长沙市公安局特巡警支队龙柏路158号勤务用房维修改造项目,6856664.62,湖南教建集团有限公司,长沙市公安局,长沙市建设工程招标投标中心,/,时间：2019-09-20 15:45:21
573,燕子山安置房项目电梯设备采购及安装工程,2866800,湖南豪迅电梯有限公司,长沙市山湖置业有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-09-20 12:05:23
574,洋湖人才公寓项目一期土石方及基坑支护工程,40274871.5,湖南省城市建筑集团有限公司,长沙恒志房地产开发有限公司,湘江新区管理委员会住建环保局。,/,时间：2019-09-20 12:05:23
575,浏阳市洞阳区域性中心敬老院建设项目一期工程,7116841.75,浏阳博创建设工程有限公司,浏阳市洞阳镇人民政府,浏阳市发展和改革局,/,时间：2019-09-20 12:05:22
576,宁乡市长郡路（G319-东城大道）道路工程施工,17195218.51,宁乡市长郡路（G319-东城大道）道路工程施工（招标编号：HGZC-ZB-2019-20)，于2019年8月15日在湖南省招标投标监管网、长沙公共资源交易电子服务平台上发布了招标公告，已于2019年9月17日在长沙公共资源交易中心举行了开标、评标，评标工作由依法组建的评标委员会完成，本项目评标办法采用《长沙市房屋建筑和市政工程施工招标评标活动管理规定》（长住建发[2019]41号）中规定的“综合评估法（Ⅰ）”，其中投标报价评审采用“附表6（2）” 的评标办法，经综合评审，评标委员会按照得分高低评选出三个中标候选人，在三个中标候选人中，按照报价由低至高确定中标候选人排序，现将相关信息予以公示：,宁乡市国资投资控股集团有限公司,/,/,时间：2019-09-20 12:05:22
577,中冶天润菁园住宅小区10-13#栋电梯采购及相关服务项目中标候选人复评公示,"3,597,800.00",康力电梯股份有限公司,长沙中冶麓谷景园置业有限公司,长沙市高新区建设工程招标投标管理办公室,/,时间：2019-09-20 12:05:20
578,2019年交通支路微循环改造项目,4942628.65,第一名,长沙市开福区市政设施维护中心,长沙市开福区招投标管理办公室,/,时间：2019-09-19 15:24:26
579,湖南媒体艺术产业园项目基坑支护及土石方工程施工,2844762.7,湖南永鑫建设有限公司,湖南媒体艺术产业发展有限公司, 长沙高新区招标投标管理办公室,/,时间：2019-09-19 13:56:21
580,宁乡市第六高级中学基础设施提质改造项目（第二次）,2523585.25,湖南联众建设工程有限公司,宁乡市第六高级中学,宁乡市建设工程招标投标管理办公室,/,时间：2019-09-19 08:43:25
581,时代阳光大道北幅（红星市场---圭白路）截污干管扩容工程三标段,9666577.24,湖南天茂景观建设工程有限公司,长沙市雨花区农业农村局,长沙市雨花区城乡建设局,/,时间：2019-09-19 08:43:23
582,时代阳光大道北幅（红星市场---圭白路）截污干管扩容工程一标段,10391007.35,湖南源源生态工程集团有限公司,长沙市雨花区农业农村局,长沙市雨花区城乡建设局,/,时间：2019-09-19 08:43:21
583,长沙市公安局监管长桥大院外线及院内高压、弱电光纤改造工程及变配电增容扩建工程,4833408.85,湖南安喆电力建设有限公司,长沙市公安局,长沙市建设工程招标投标中心,/,时间：2019-09-19 08:42:27
584,时代阳光大道北幅（红星市场---圭白路）截污干管扩容工程二标段,8771649.76,湖南兴旺建设有限公司,长沙市雨花区农业农村局,长沙市雨花区城乡建设局,/,时间：2019-09-19 08:42:27
585,星沙联络线辅道辅助市政提质工程,16982563.29,长沙金诚建筑有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-09-19 08:42:26
586,湘景社区汽配城路两厢外立面整治项目,8518273.04,湖南教建集团有限公司,长沙县湘龙街道办事处,长沙县发展和改革局,/,时间：2019-09-19 08:42:25
587,敢胜垸污水处理厂秋塘排渍泵站设备采购及配套服务（第二次）,12498740,湖南水务机电设备成套技术有限公司,长沙市排水有限责任公司,长沙市建设工程招标投标中心,/,时间：2019-09-17 17:05:15
588,乌山片区260亩场平工程,16708511,湖南乔口建设有限公司,长沙市望城经开区基础设施建设有限公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-09-17 15:26:20
